,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
430316,430318,463.582584,2.423469343055,"NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2",NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2
430321,430323,463.395637,1.744400705895,"NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2",NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2
430319,430321,463.359244,2.367835782491,"RAJXUX-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2",RAJXUX-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,NURKEQ-subgraph-2
430318,430320,463.346642,1.6588498289,"RAJXUX-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2",RAJXUX-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2
430317,430319,463.310489,2.290743792125,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2",CUJYEL-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2
430320,430322,463.2519,2.0454126568,"RAJXUX-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2",RAJXUX-subgraph-2,BIFZEX-subgraph-0,NURKEQ-subgraph-2,CUJYEL-subgraph-2
14858,14858,462.30141,2.170534704041,"BIFZEX-subgraph-0,QEWZOH-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,QEWZOH-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14859,14859,462.299678,2.174633839571,"QEWZOH-subgraph-3,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",QEWZOH-subgraph-3,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98678,98679,462.269534,2.159980502572,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,QEWZOH-subgraph-3",CUJYEL-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,QEWZOH-subgraph-3
14466,14466,462.150179,2.047554288328,"GUVMEP-subgraph-0,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",GUVMEP-subgraph-0,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
